color,ID,x,y
red,1,931.6829413515927,369.48407264066685
red,2,797.7948442534909,508.24436090225566
red,3,1066.4519096738222,510.9710064120435
orange,1,1513.6334295460508,905.9110469692994
orange,2,1689.8820116054158,1003.0513954130976
orange,3,1429.0379209758685,1099.430654998674
yellow,1,931.6829413515927,369.48407264066685
yellow,2,797.7948442534909,508.24436090225566
yellow,3,1066.4519096738222,510.9710064120435
green,1,1566.757696390658,211.98991507430998
green,2,1375.753508075192,281.6341011384697
green,3,1430.8186170212766,508.2300531914894
blue,1,1448.766917293233,2359.5900863269285
blue,2,1312.7044006948465,2519.8228141285467
blue,3,1468.3629053872955,2663.505762530153
purple,1,272.35662063363117,322.5242350392635
purple,2,461.36328871892925,346.55695165255395
purple,3,244.947296930182,527.7663678348275
pink,1,547.3387892959211,935.8646401662769
pink,2,340.5326831839747,958.7675276752767
pink,3,565.7599106644333,1134.2727526521496
violet,1,239.01192684866155,1663.826133050623
violet,2,165.7825630252101,1853.5123424369747
violet,3,344.6537591149107,1927.8991702288156
chart,1,1632.2381889763778,1643.82424071991
chart,2,1786.6894964028777,1761.9729496402879
chart,3,1653.215032495055,1928.8166148629557
cyan,1,1161.0595073346249,925.8336562413507
cyan,2,882.6386901485965,931.373417721519
cyan,3,1020.4490073429427,1071.3897198803372
